Gene ID,Gene Name,Score(d),Fold Change,q-value(%)
g6802,ENSG00000264133.1,114.65,6173738654.428,0
g6726,ENSG00000266953.2,114.6,2.318,0
g4042,ENSG00000110514.14,114.55,12.675,0
g5689,ENSG00000261359.2,114.5,3.951,0
g2884,ENSG00000136279.14,114.45,2.67,0
g3927,ENSG00000117984.8,114.45,4.462,0
g3364,ENSG00000170619.8,114.4,6.45,0
g4772,ENSG00000188735.8,114.4,3.646,0
g4040,ENSG00000134574.7,114.3,5624930177.254,0
g4752,ENSG00000135090.9,114.15,4.053,0
g3148,ENSG00000120899.13,114.1,2.557,0
g845,ENSG00000115234.6,113.85,8.247,0
g4572,ENSG00000076108.7,113.85,1.961,0
g7342,ENSG00000244509.3,113.8,2.093,0
g4193,ENSG00000167797.3,113.75,14.205,0
g4794,ENSG00000139697.7,113.6,3.102,0
g6759,ENSG00000068903.15,113.4,3.765,0
g6234,ENSG00000108592.12,113.35,6.503,0
g6696,ENSG00000268193.1,113.35,9.806,0
g5547,ENSG00000103275.14,113.3,5.211,0
g5884,ENSG00000257950.3,113.25,2.684,0
g409,ENSG00000225075.1,113.2,3051581205.161,0
g4775,ENSG00000110801.9,113.2,3.478,0
g6267,ENSG00000167851.9,113.2,2.834,0
g6970,ENSG00000125844.11,113.2,9.114,0
g215,ENSG00000183431.7,113.05,3.26,0
g4401,ENSG00000003056.3,113.05,2.466,0
g6011,ENSG00000034152.14,112.9,2.613,0
g6583,ENSG00000099203.2,112.9,12.462,0
g6531,ENSG00000125652.3,112.8,17.922,0
g1746,ENSG00000145191.7,112.7,5.414,0
g6520,ENSG00000127666.8,112.7,25.871,0
g7594,ENSG00000013563.9,112.7,7.665,0
g1576,ENSG00000214407.3,112.65,8.862,0
g6120,ENSG00000068079.3,112.5,2.747,0
g6331,ENSG00000266077.1,112.5,3.562,0
g19,ENSG00000008128.18,112.45,5.568,0
g3692,ENSG00000232004.1,112.45,2.838,0
g5956,ENSG00000220205.4,112.45,3.076,0
g4191,ENSG00000172663.4,112.35,1206439081.715,0
g6358,ENSG00000141556.16,112.3,6.67,0
g2655,ENSG00000135316.13,112.25,3.381,0
g4608,ENSG00000111554.10,112.25,4.886,0
g5556,ENSG00000205937.7,112.25,2.546,0
g6128,ENSG00000168591.11,112.25,3.3,0
g4994,ENSG00000259371.1,112.2,1016382956.338,0
g322,ENSG00000232672.1,112.15,5.065,0
g2073,ENSG00000056097.11,112.15,1.777,0
g2280,ENSG00000120725.8,112.15,10.021,0
g6031,ENSG00000109118.9,112.15,4.202,0
g5665,ENSG00000149925.12,112.05,2.139,0
g5947,ENSG00000129255.10,112.05,12.533,0
g3087,ENSG00000159840.11,112,2.079,0
g1080,ENSG00000144118.9,111.95,3.241,0
g6625,ENSG00000104915.10,111.95,6.533,0
g1290,ENSG00000135899.12,111.9,2.972,0
g6710,ENSG00000064547.9,111.85,12.474,0
g2190,ENSG00000176183.8,111.75,3.12,0
g4139,ENSG00000110046.8,111.75,7.86,0
g4999,ENSG00000213928.4,111.75,2.115,0
g2278,ENSG00000206989.1,111.7,5251558352.347,0
g5249,ENSG00000140105.13,111.65,2.587,0
g5688,ENSG00000103490.13,111.6,3.229,0
g6832,ENSG00000105438.4,111.5,5.995,0
g2057,ENSG00000133398.3,111.45,3.284,0
g1256,ENSG00000179921.10,111.4,2114912715.898,0
g6662,ENSG00000131351.10,111.4,4.596,0
g1459,ENSG00000047849.17,111.35,4.135,0
g2341,ENSG00000198624.8,111.35,3.002,0
g1499,ENSG00000114395.6,111.1,3.058,0
g5743,ENSG00000070761.3,111.1,3.66,0
g6010,ENSG00000178307.5,111.1,3.37,0
g7028,ENSG00000201221.1,111.1,4.069,0
g101,ENSG00000173372.12,111.05,6675486518.502,0
g794,ENSG00000171865.5,111.05,9.451,0
g3603,ENSG00000148308.13,111.05,2191531238.501,0
g5543,ENSG00000167930.11,111,5.764,0
g1273,ENSG00000127824.9,110.9,4.017,0
g2424,ENSG00000131446.11,110.8,3.394,0
g6652,ENSG00000105058.7,110.8,4.083,0
g7229,ENSG00000128185.5,110.8,1587897359.805,0
g1292,ENSG00000185404.12,110.75,6.847,0
g6700,ENSG00000064489.17,110.75,11.955,0
g3575,ENSG00000160446.14,110.7,1848729065.999,0
g6942,ENSG00000101365.16,110.7,3.684,0
g2551,ENSG00000240065.3,110.65,2.075,0
g6671,ENSG00000130311.6,110.6,5.985,0
g2917,ENSG00000169919.12,110.5,7.147,0
g7115,ENSG00000254995.4,110.4,8.626,0
g3618,ENSG00000176101.7,110.35,8.048,0
g3690,ENSG00000169813.12,110.3,1.881,0
g139,ENSG00000241547.1,110.2,5.036,0
g424,ENSG00000163399.11,110.1,2.099,0
g2521,ENSG00000196230.8,110.1,1.79,0
g2664,ENSG00000220267.1,110.05,3.391,0
g162,ENSG00000198492.10,110,4.744,0
g3666,ENSG00000077420.11,110,2.304,0
g7214,ENSG00000160310.12,110,3.268,0
g7257,ENSG00000100077.10,110,2.196,0
g4612,ENSG00000206650.1,109.95,5.837,0
g5490,ENSG00000271725.1,109.9,3.648,0
g6834,ENSG00000087074.7,109.9,3.429,0
g1439,ENSG00000114857.13,109.85,2.651,0
g2491,ENSG00000111913.11,109.8,2.312,0
g253,ENSG00000178028.9,109.7,825811152.212,0
g6752,ENSG00000171777.11,109.65,5.962,0
g1530,ENSG00000163686.9,109.6,1348373091.211,0
g7277,ENSG00000100325.10,109.6,4.627,0
g4334,ENSG00000173456.4,109.5,3599134874.691,0
g5488,ENSG00000117899.6,109.35,8.934,0
g5461,ENSG00000167173.14,109.3,3.083,0
g6266,ENSG00000264272.1,109.25,9.624,0
g2011,ENSG00000121210.11,109.2,4.177,0
g3970,ENSG00000133789.10,109.05,2.325,0
g4550,ENSG00000135392.11,109,9.712,0
g6701,ENSG00000213999.11,109,5.193,0
g7078,ENSG00000080189.10,109,7.454,0
g4993,ENSG00000100897.13,108.95,6.236,0
